Fall Term,Campus,Measure Values
1994,Berkeley,3.838756092258065
1994,Davis,3.7088684916460033
1994,Irvine,3.62412820415324
1994,Los Angeles,3.7816926165390945
1994,Riverside,3.5026408395679014
1994,San Diego,3.7534235906573543
1994,Santa Barbara,3.5409970886922486
1994,Santa Cruz,3.5064203575074036
1994,Universitywide,3.653093479421563
1995,Berkeley,3.8407947297865648
1995,Davis,3.718050782723869
1995,Irvine,3.626713054773759
1995,Los Angeles,3.786574599397466
1995,Riverside,3.4876744185855553
1995,San Diego,3.774614075556349
1995,Santa Barbara,3.5392565355994043
1995,Santa Cruz,3.490880215523589
1995,Universitywide,3.6622902608089136
1996,Berkeley,3.8558201560792487
1996,Davis,3.723855496977511
1996,Irvine,3.64758983364966
1996,Los Angeles,3.81240509783589
1996,Riverside,3.5195437184511933
1996,San Diego,3.7875133939684544
1996,Santa Barbara,3.545687610239304
1996,Santa Cruz,3.5011646143150807
1996,Universitywide,3.6731220395043245
1997,Berkeley,3.867192554659148
1997,Davis,3.7352464173627595
1997,Irvine,3.67837429971046
1997,Los Angeles,3.84120904943646
1997,Riverside,3.5121571169204544
1997,San Diego,3.8103523168903277
1997,Santa Barbara,3.5930550719490446
1997,Santa Cruz,3.51678428177542
1997,Universitywide,3.6953316949693447
1998,Berkeley,3.8942401915947986
1998,Davis,3.7468810606395007
1998,Irvine,3.6866369746492307
1998,Los Angeles,3.863303834197901
1998,Riverside,3.5305907598355137
1998,San Diego,3.825715088112088
1998,Santa Barbara,3.6399917346902777
1998,Santa Cruz,3.5391931455655343
1998,Universitywide,3.7155628842342296
1999,Berkeley,3.908284760866293
1999,Davis,3.753936293966524
1999,Irvine,3.6976039045173192
1999,Los Angeles,3.8863129857375003
1999,Riverside,3.5673861856090445
1999,San Diego,3.8596568073688986
1999,Santa Barbara,3.681498911665763
1999,Santa Cruz,3.5553267975946383
1999,Universitywide,3.724603396739615
2000,Berkeley,3.920808580953823
2000,Davis,3.7525795663571904
2000,Irvine,3.706869790376068
2000,Los Angeles,3.8892308623064626
2000,Riverside,3.5707082324458335
2000,San Diego,3.871873283081279
